title,votes,priority,recency_days,status,urgency_score
"Cracked footpath causing injuries",6,LOW,26,PENDING,0.30
"Power cut every evening",11,HIGH,4,PENDING,0.85
"Parking violations blocking access",7,MEDIUM,15,PENDING,0.60
"Damaged road signs",9,LOW,21,PENDING,0.45
"Frequent water supply interruptions",10,HIGH,3,PENDING,0.88
"Fallen trees blocking roads",8,MEDIUM,17,PENDING,0.55
"Noise pollution from factory at night",12,HIGH,2,PENDING,0.92
"Traffic accidents due to potholes",11,HIGH,1,PENDING,0.90
"Illegal construction on public land",7,LOW,23,PENDING,0.35
"Broken sidewalk causing tripping",9,MEDIUM,18,PENDING,0.50
"Overflowing waste bin near school",8,LOW,29,PENDING,0.40
"Power failure every morning",5,HIGH,4,PENDING,0.80
"Traffic congestion during rush hours",10,MEDIUM,12,PENDING,0.65
"Excessive noise from street vendors",6,LOW,35,PENDING,0.30
"Construction waste dumped in public space",7,MEDIUM,8,PENDING,0.55
"Broken sewage pipe causing odors",8,HIGH,6,PENDING,0.85
