title,votes,priority,recency_days,status,urgency_score
"Cracked footpath causing injuries",6,LOW,26,PENDING,0.30
"Power cut every evening",11,HIGH,4,PENDING,0.85
"Parking violations blocking access",7,MEDIUM,15,PENDING,0.60
"Damaged road signs",9,LOW,21,PENDING,0.45
"Frequent water supply interruptions",10,HIGH,3,PENDING,0.88
"Fallen trees blocking roads",8,MEDIUM,17,PENDING,0.55
"Noise pollution from factory at night",12,HIGH,2,PENDING,0.92
"Traffic accidents due to potholes",11,HIGH,1,PENDING,0.90
"Illegal construction on public land",7,LOW,23,PENDING,0.35
"Broken sidewalk causing tripping",9,MEDIUM,18,PENDING,0.50
"Overflowing waste bin near school",8,LOW,29,PENDING,0.40
"Power failure every morning",5,HIGH,4,PENDING,0.80
"Traffic congestion during rush hours",10,MEDIUM,12,PENDING,0.65
"Excessive noise from street vendors",6,LOW,35,PENDING,0.30
"Construction waste dumped in public space",7,MEDIUM,8,PENDING,0.55
"Broken sewage pipe causing odors",8,HIGH,6,PENDING,0.85
"Road is completely damaged and vehicles cannot pass",15,HIGH,2,PENDING,0.95
"Hospital emergency ward overcrowded",12,HIGH,1,PENDING,0.93
"No water supply for three days",10,HIGH,3,PENDING,0.90
"Transformer exploded near residential area",14,HIGH,1,PENDING,0.94
"Illegal drugs sold near school",11,HIGH,2,PENDING,0.91
"Bridge structural crack found",13,HIGH,1,PENDING,0.94
"Flooding in residential underpass",10,HIGH,2,PENDING,0.91
"Power outage entire village",11,HIGH,1,PENDING,0.92
"Sewage overflow on main street",9,HIGH,2,PENDING,0.89
"Broken water pipe flooding road",8,HIGH,1,PENDING,0.88
"School roof severely leaking",7,HIGH,4,PENDING,0.82
"Electricity pole leaning dangerously",8,HIGH,3,PENDING,0.85
"Chemical smell from factory",9,HIGH,2,PENDING,0.87
"Fire hydrant leaking badly",7,HIGH,3,PENDING,0.83
"Hospital waste dumped openly",10,HIGH,1,PENDING,0.92
"School building wall cracked",8,HIGH,2,PENDING,0.86
"Water contamination reported",12,HIGH,1,PENDING,0.93
"Gas leak near apartments",14,HIGH,1,PENDING,0.95
"Manhole open on busy road",9,HIGH,2,PENDING,0.88
"Stray animals attacking people",8,HIGH,2,PENDING,0.84
"Road accident black spot",10,HIGH,2,PENDING,0.90
"Market area drainage blocked",7,HIGH,3,PENDING,0.81
"High priority low votes one",1,HIGH,1,PENDING,0.75
"High priority low votes two",2,HIGH,2,PENDING,0.76
"High priority low votes three",3,HIGH,1,PENDING,0.78
"High priority low votes four",4,HIGH,2,PENDING,0.79
"High priority low votes five",5,HIGH,1,PENDING,0.80
"High priority low votes six",6,HIGH,2,PENDING,0.81
"High priority seven votes",7,HIGH,1,PENDING,0.82
"High priority eight votes",8,HIGH,2,PENDING,0.84
"Traffic light malfunction busy junction",6,MEDIUM,3,PENDING,0.60
"Tree blocking main road",7,MEDIUM,2,PENDING,0.58
"Public bus stop shelter collapsed",5,MEDIUM,5,PENDING,0.52
"Pothole on main road",5,MEDIUM,7,PENDING,0.50
"Garbage not collected week",4,MEDIUM,5,PENDING,0.45
"Public toilet completely broken",4,MEDIUM,6,PENDING,0.42
"Drain cover missing",6,MEDIUM,4,PENDING,0.55
"Water pressure very low",5,MEDIUM,6,PENDING,0.48
"Street flooding after rain",7,MEDIUM,3,PENDING,0.57
"Broken streetlight dark road",4,MEDIUM,7,PENDING,0.43
"Illegal construction blocking road",6,MEDIUM,4,PENDING,0.54
"Public library roof leaking",4,MEDIUM,8,PENDING,0.41
"Cemetery wall collapsed",5,MEDIUM,6,PENDING,0.49
"Bus route cancelled",5,MEDIUM,5,PENDING,0.51
"Medium eight votes",8,MEDIUM,3,PENDING,0.62
"Medium nine votes",9,MEDIUM,2,PENDING,0.63
"Medium ten votes",10,MEDIUM,3,PENDING,0.65
"Medium priority low votes one",1,MEDIUM,5,PENDING,0.30
"Medium priority low votes two",2,MEDIUM,6,PENDING,0.32
"Medium priority low votes three",3,MEDIUM,4,PENDING,0.35
"Road marking completely faded",3,LOW,30,PENDING,0.15
"Street light not working",3,LOW,10,PENDING,0.25
"Park bench damaged",1,LOW,20,PENDING,0.10
"Noise complaint from neighbors",2,LOW,8,PENDING,0.20
"Abandoned vehicle on road",2,LOW,12,PENDING,0.22
"Footpath tiles broken",3,LOW,15,PENDING,0.18
"Bus stop sign fallen",1,LOW,25,PENDING,0.12
"Public bench vandalized",1,LOW,18,PENDING,0.11
"Low priority eight votes",8,LOW,5,PENDING,0.40
"Low priority nine votes",9,LOW,4,PENDING,0.42
"Low priority ten votes",10,LOW,3,PENDING,0.44
